english,engtrans,arabic,hindi,urdu,cue
"O Allah, do not discipline me by means of Your punishment","Illahi tu'addibnee bi`uqubatika","إِلٰهِي لاَ تُؤَدِّبْنِي بِعُقُوبَتِكَ","","میرے الله مجھے اپنے عذاب میں گرفتار نہ کر",""
"and do not subject me to Your planned strategy.","wa la tamkur bee fee heelatika","وَلاَ تَمْكُرْ بِي فِي حِيلَتِكَ",""," اور مجھے اپنی قدرت کے ساتھ نہ آزما،",""
"How can I attain welfare, O Lord,","min ayna liya alkhayru ya rabbi","مِنْ ايْنَ لِيَ ٱلْخَيْرُ يَا رَبِّ",""," مجھے کہاں سے بھلائی حاصل ہو سکتی ہے میرے پالنے والے،",""
"while it is not found elsewhere save with You?","wa la yujadu illa min `indika","وَلاَ يُوجَدُ إِلاَّ مِنْ عِنْدِكَ",""," جبکہ وہ  تیرے سوا کہیں اور موجود نہیں",""
"How can I find redemption","wa min ayna liya alnnajatu","وَمِنْ ايْنَ لِيَ ٱلنَّجَاةُ",""," کی جہاں سے نجات مل سکےگی،",""
"while it cannot be attained save through You?","wa la tustata`u illa bika","وَلاَ تُسْتَطَاعُ إِلاَّ بِكَ",""," جبکہ اس پر تیرے سوا کسی کو قدرت نہیں،",""
"Neither he who has done righteous deeds can dispense with Your aid and mercy","la alladhee ahsana istaghna `an `awnika wa rahmatika","لاَ ٱلَّذِي احْسَنَ ٱسْتَغْنَىٰ عَنْ عَوْنِكَ وَرَحْمَتِكَ",""," نہ ہی کوئی نیکی کرنے میں تیری مدد اور رحمت سے بے نیاز ہے",""
"nor can he who did evildoings, dare to challenge you,","wa la alladhee asa'a wa ijtara'a `alayka wa lam yurika","وَلاَ ٱلَّذِي اسَاءَ وَٱجْتَرَا عَلَيْكَ",""," اور نہ ہی کوئی برائی کرنے والا، تیرے سامنے جرّت کرنے والا ",""
"and did not arrive at Your pleasure find an exit out of Your power.","kharaja `an qudratika","وَلَمْ يُرْضِكَ خَرَجَ عَنْ قُدْرَتِكَ","","اور تیری رضاجوئی ن کرنے والا تیرے قابو سے بہار ہے،",""
"Repeat this phrase as many times as possible in one breath:",..,..,"","پھر سانس میں جتنی مرتبہ پڑھ سکتے ہیں کہیں : ",""
"O Lord…","ya rabbi","يَا رَبِّ …",""," اے پالنے والے",""
"Then, keep on saying:",..,..,"","پھر پڑھیں :",""
"Through You have I known You.","bika `arabftuka","بِكَ عَرَفْتُكَ","","میں نے تیرے زریعے ہی تجھے پہچانا،",""
